zip,city,county,display_name,median_income,total_population,poverty_count,poverty_rate,median_age,snap_retailer_count,snap_retailers_per_5000,basket_cost,affordability_score,data_source
07001,Avenel,Bergen,Avenel (Bergen),95935,17143,1197,0.07,39.3,10,2.92,138.0,7.5,census_comprehensive
07002,Bayonne,Bergen,Bayonne (Bergen),81285,70468,10107,0.143,38.6,4,0.28,138.0,8.8,census_comprehensive
07003,Bloomfield,Bergen,Bloomfield (Bergen),98805,52921,4593,0.087,38.1,1,0.09,138.0,7.3,census_comprehensive
07004,Fairfield,Bergen,Fairfield (Bergen),113750,7712,774,0.1,49.8,5,3.24,138.0,6.3,census_comprehensive
07005,Boonton,Bergen,Boonton (Bergen),126411,15240,780,0.051,42.0,7,2.3,138.0,5.7,census_comprehensive
07006,Caldwell,Bergen,Caldwell (Bergen),148645,26417,896,0.034,42.8,3,0.57,138.0,4.8,census_comprehensive
07007,Caldwell,Bergen,Caldwell (Bergen),65000,15000,1800,0.12,38.0,8,2.67,138.0,11.0,census_comprehensive
07008,Carteret,Bergen,Carteret (Bergen),87712,25220,2514,0.1,39.3,10,1.98,138.0,8.2,census_comprehensive
07009,Cedar Grove,Bergen,Cedar Grove (Bergen),153654,13317,421,0.032,45.3,10,3.75,138.0,4.7,census_comprehensive
07010,Cliffside Park,Bergen,Cliffside Park (Bergen),94960,25580,2873,0.112,41.0,3,0.59,138.0,7.6,census_comprehensive
07011,Clifton,Bergen,Clifton (Bergen),73589,38817,4010,0.103,39.9,11,1.42,138.0,9.7,census_comprehensive
07012,Clifton,Bergen,Clifton (Bergen),100341,15153,532,0.035,38.4,2,0.66,138.0,7.1,census_comprehensive
07013,Clifton,Bergen,Clifton (Bergen),119291,29419,1560,0.053,46.4,7,1.19,138.0,6.0,census_comprehensive
07014,Clifton,Bergen,Clifton (Bergen),138222,4867,484,0.099,39.0,8,8.22,138.0,5.2,census_comprehensive
07015,Clifton,Bergen,Clifton (Bergen),65000,15000,1800,0.12,38.0,1,0.33,138.0,11.0,census_comprehensive
07016,Cranford,Bergen,Cranford (Bergen),148629,23841,633,0.027,42.9,10,2.1,138.0,4.8,census_comprehensive
07017,East Orange,Bergen,East Orange (Bergen),61552,40809,6953,0.17,36.2,4,0.49,138.0,11.6,census_comprehensive
07018,East Orange,Bergen,East Orange (Bergen),59039,28261,5035,0.178,38.4,12,2.12,138.0,12.1,census_comprehensive
07020,Edgewater,Bergen,Edgewater (Bergen),137847,14544,906,0.062,39.9,6,2.06,138.0,5.2,census_comprehensive
07021,Essex Fells,Bergen,Essex Fells (Bergen),250001,2320,9,0.004,43.8,3,6.47,138.0,2.9,census_comprehensive
07022,Fairview,Bergen,Fairview (Bergen),64152,14920,2638,0.177,39.0,6,2.01,138.0,11.2,census_comprehensive
07023,Fanwood,Bergen,Fanwood (Bergen),176667,7714,105,0.014,42.4,6,3.89,138.0,4.1,census_comprehensive
07024,Fort Lee,Bergen,Fort Lee (Bergen),105594,39785,3328,0.084,47.2,10,1.26,138.0,6.8,census_comprehensive
07026,Garfield,Bergen,Garfield (Bergen),75701,32502,4589,0.141,39.0,12,1.85,138.0,9.5,census_comprehensive
07027,Garwood,Bergen,Garwood (Bergen),100948,4688,432,0.092,42.7,1,1.07,138.0,7.1,census_comprehensive
07028,Glen Ridge,Bergen,Glen Ridge (Bergen),246500,8002,80,0.01,41.2,10,6.25,138.0,2.9,census_comprehensive
07030,Hoboken,Bergen,Hoboken (Bergen),176943,58340,4036,0.069,31.9,5,0.43,138.0,4.1,census_comprehensive
07031,North Arlington,Bergen,North Arlington (Bergen),101493,16368,613,0.037,39.6,12,3.67,138.0,7.1,census_comprehensive
07032,Kearny,Bergen,Kearny (Bergen),83212,40570,4811,0.119,39.2,9,1.11,138.0,8.6,census_comprehensive
07033,Kenilworth,Bergen,Kenilworth (Bergen),126295,8339,496,0.059,38.6,10,6.0,138.0,5.7,census_comprehensive
07034,Lake Hiawatha,Bergen,Lake Hiawatha (Bergen),101500,10406,277,0.027,40.3,5,2.4,138.0,7.1,census_comprehensive
07035,Lincoln Park,Bergen,Lincoln Park (Bergen),117929,11085,352,0.032,47.1,3,1.35,138.0,6.1,census_comprehensive
